anc,meanmale,meanfemale,medianmale,medianfemale
afr,21675.9261600137,18883.4041360252,22134,19284
amr,6634.8773388053,8288.91220336634,6780,8484
asj,1849.32352375815,1588.90230729641,1866,1604
eas,2244.31488097815,2859.71230308701,2276,2910
fin,2484.00046340545,7734.43438468445,2570,8020
nfe,38789.8022677372,28235.2451902522,39348,28668
sas,1159.6512504614,3647.45212061068,1164,3662
oth,1030.56194644004,1056.89721894463,1032,1058
