TRAIT,ANC,SLOPEMEAN,SEMEAN,SLOPESE,MAXVSLOPE,ZMEAN,ZSE
albumin,afr,0.160157439657715,0.179659557402261,0.531277945127348,-0.0193767284260509,0.434242984414584,1.22594682778496
albumin,amr,0.552759613493335,0.500218715560594,0.674125071742074,0.289311740434321,1.0196809252069,0.977187463740641
albumin,asj,0.346714117715937,1.3333741837915,0.844191096621013,1.02061796497484,0.269516553514249,0.613649356126423
albumin,eas,1.29818126646994,0.901207586265077,1.03479132910516,0.0298346304089531,1.47934437653335,1.15904826467006
albumin,fin,0.678458771807413,2.14127068973224,1.25333126301761,0.0738648846650924,0.466331084664922,0.675646027679247
albumin,nfe,0.106788424018821,0.105316138213519,0.156146452364921,0.0180371487950087,0.927277596995983,1.10797621190349
albumin,sas,-0.0292255726179169,1.36733799843052,0.879380918309463,-0.181847620719265,-0.0249392856154151,0.571599017943607
albumin,oth,0.693424935692656,1.65326120514944,2.00267334841178,-0.613729368542808,0.350718626873065,1.09965172088106
arm_fatfree_mass_L,afr,0.652519442761882,1.17447202924016,1.49183958430432,-0.632149968676043,0.49283894409711,1.02286626250562
arm_fatfree_mass_L,amr,13.7466268686992,6.19472834353349,4.43869616863459,5.66602261411223,2.49243352207839,1.13659678716122
arm_fatfree_mass_L,asj,7.99379696127806,7.5995622602871,3.07070021491199,-4.20897367640789,1.12708513251344,0.536437751182934
arm_fatfree_mass_L,eas,14.0671586292811,7.52687589182543,5.91305539743844,8.37626994810128,1.92384998015275,0.81652357979082
arm_fatfree_mass_L,fin,16.2162173958872,14.0005954993194,10.9131474117141,15.1731995526977,1.47564703675554,0.927476967983709
arm_fatfree_mass_L,nfe,2.41307433030231,1.52179433284382,3.02848113334503,5.47192842084866,1.4197531369121,1.73561353908243
arm_fatfree_mass_L,sas,2.86317721913379,15.0614624124144,8.9244003368163,4.90196822701183,0.22115420826281,0.585223988245598
arm_fatfree_mass_L,oth,90.2907800950834,14.8496486196064,21.6830185069901,5.3749325603708,6.07206112749034,1.22693370724682
arm_fatfree_mass_R,afr,0.203318967053338,1.28479580898964,1.02806225095557,-0.407103941311753,0.147411545839566,0.742358705173363
arm_fatfree_mass_R,amr,11.7063522574239,6.64555887197605,4.03567668285071,5.01247715542356,1.99100048731006,0.945598343666723
arm_fatfree_mass_R,asj,8.50024719391695,8.46120058067542,3.95610354143073,-4.56031010650824,1.07314748737847,0.575402099405606
arm_fatfree_mass_R,eas,10.9559521718599,8.18962402980154,6.24000502224104,7.1461432223919,1.37083268830217,0.777964242022343
arm_fatfree_mass_R,fin,14.0509770257365,15.5716530546224,12.7200397217737,18.0359531297073,1.15897308931346,0.997298481111217
arm_fatfree_mass_R,nfe,0.521093260276082,1.23701829360568,1.58580433676091,0.967164745442232,0.311275724142082,1.00878987430024
arm_fatfree_mass_R,sas,-0.431434690615047,16.6223236501069,8.74134667040834,13.2056158217763,-0.0171313701710229,0.502044024915417
arm_fatfree_mass_R,oth,89.8795838066534,14.4580734828231,22.3426513150905,6.69820953052226,6.27519969543829,1.56224385157913
bmi,afr,-0.00376500553790502,0.0316456553029318,0.0165078889553479,-0.0143200094427226,-0.108081662710511,0.590077328122742
bmi,amr,0.389030629111403,0.109537652325606,0.153710058119423,0.0530576577994384,3.66891777672133,1.42858580070712
bmi,asj,0.0547971280392215,0.17640788514494,0.118863774164226,0.0415695806471333,0.355359021959466,0.691531988729995
bmi,eas,0.111225474274806,0.133678598785625,0.0747282172358963,0.0739757203324321,0.891224082502939,0.620360932566415
bmi,fin,0.623827728639366,0.228059328028537,0.235649138596364,0.17290151030085,2.81967671764281,1.12279605369642
bmi,nfe,-0.00603191110604474,0.0167751944976613,0.0224021005979963,-0.00456900141812137,-0.704957494821189,0.79141711958365
bmi,sas,0.315444260590281,0.286187828787693,0.232942571936791,0.201754677777042,1.09108108783714,0.787340339574679
bmi,oth,1.20266340566223,0.371451353461857,0.556345515854736,-0.0437057871955065,3.22981613755074,1.36656921587422
calcium,afr,-43.610213704835,127.784172929285,94.766673816344,-6.57615690625887,-0.363761258326237,0.56021274528698
calcium,amr,566.786005184936,576.749529216066,717.415595552475,335.889683725248,1.11250956556626,1.27596580369359
calcium,asj,814.676460358133,1037.38799904413,668.26527341989,500.762821689225,0.853989262882078,0.667452190546905
calcium,eas,-189.949849449523,617.540303872148,406.422323187163,-97.5658469275022,-0.287861186584527,0.408046173122315
calcium,fin,335.67375997238,757.909615425735,666.853213685651,739.70329068767,0.573608143310311,1.01315804525956
calcium,nfe,410.281534317381,83.4305175541671,441.909065360591,362.573409232368,5.39233454096121,7.04752187427758
calcium,sas,1131.63031403109,1238.86345623183,794.822174080744,615.996613601166,0.957176402830761,0.610303370828793
calcium,oth,1019.71503675098,1423.59718571836,2022.26739881198,-36.8246827403012,0.71008091371444,1.31013813128653
creatinine,afr,0.000884382408509608,0.00122988973308365,0.000766441084194934,0.00109850559161019,0.860555797967762,0.753928125690248
creatinine,amr,0.0022995288126197,0.00458770258709969,0.00217628018967493,0.000107411569915235,0.57606931430429,0.524443614574288
creatinine,asj,-0.00851185061480843,0.00759890819594374,0.00539959146770579,-0.00395523860761714,-1.08838079104883,0.628809603738119
creatinine,eas,-0.00434790857459804,0.0052199508935784,0.00309750795932331,-0.00139776068280252,-0.830200049269417,0.585389162233886
creatinine,fin,-0.00114592327420425,0.00977386501902621,0.00552845017472167,-0.00708991929353467,0.00122403568867769,0.595382554011821
creatinine,nfe,-0.000393117177395878,0.000789446786339184,0.000294828680192415,0.00116916471580921,-0.619415561378147,0.505509278636037
creatinine,sas,-0.0152904883248332,0.00776987685673036,0.00355909895466532,0.00215757377299846,-1.97957137871844,0.445948125835392
creatinine,oth,-0.000819680247634165,0.00880492627062822,0.00577478791683854,0.00538689663350357,-0.0767762395991477,0.684177865210843
diastolicBP_auto,afr,0.0123494154113524,0.00793127616958843,0.0122093864695736,0.00402173786228086,1.6295337925018,1.38504338676314
diastolicBP_auto,amr,0.059724802839269,0.0261864180167888,0.042806185535901,0.0254097506063681,2.22742254126626,1.32751113458824
diastolicBP_auto,asj,-0.0584006433863712,0.0521704791524888,0.0343383322796496,-0.0329109062335959,-1.12361290759172,0.592049416867843
diastolicBP_auto,eas,0.0187891895180228,0.0479060059050231,0.0402678019698311,0.0209752054176068,0.419328666737288,0.833418456664054
diastolicBP_auto,fin,0.0239364879017281,0.0616487275199118,0.0560270298240082,-0.0118243768299053,0.395898617968006,0.911950839500257
diastolicBP_auto,nfe,0.0011345065271844,0.00360064411474267,0.00287693260786615,-0.00071731737759987,0.384974325663841,0.830024350375231
diastolicBP_auto,sas,-0.0243786831260909,0.0766734000819282,0.0565058730038289,-0.0363071218462734,-0.328470940064778,0.695288316384024
diastolicBP_auto,oth,-0.0143182734711111,0.098836942935128,0.0658131443306774,0.0371342706135112,-0.120138725579432,0.639291875433042
eosinophil_perc,afr,0.0233675569062963,0.210514677677753,0.222777023488415,0.050680620874847,0.151301306915142,1.17808450969019
eosinophil_perc,amr,1.35561772170523,0.901459855384328,0.92722917347015,0.121068089452087,1.53168004796045,0.916988798404408
eosinophil_perc,asj,-0.247617889542765,1.96468313931576,0.935520445155478,-0.533580788668893,-0.0820279389234068,0.419095697442215
eosinophil_perc,eas,0.159517852616196,1.16399346531717,0.863422825182696,-0.0692960186920119,0.17047796299928,0.747229532633011
eosinophil_perc,fin,-0.0709609647916064,2.41870068400113,1.75479303844399,-0.563054208184311,-0.0426595057341844,0.556325518561712
eosinophil_perc,nfe,-0.0577351030282322,0.175368726198489,0.133368696761934,0.00724617324177985,-0.378985984261465,0.86862694297633
eosinophil_perc,sas,0.493268576040686,2.33503701355877,1.38462413199413,1.38631466488431,0.211300232876484,0.562635143220849
eosinophil_perc,oth,-2.28535700656262,2.04627642837817,1.54036132203499,-0.0914014269592035,-1.06833556903599,0.605658621024043
FVC_best,afr,0.959814866464425,2.19676628103656,2.80025109693928,2.05393501014662,0.449837163794932,1.04224095773016
FVC_best,amr,6.62772474124781,11.9598719566882,6.86764977641573,-0.659781728454393,0.572966285773585,0.577977920458952
FVC_best,asj,-6.50407487628805,23.7862587547521,8.80946727160764,-15.2074872024828,-0.247969903881827,0.412348249645236
FVC_best,eas,8.09635853015709,20.0074725861113,16.176918820467,3.25360150301364,0.355544759923041,0.603607083011088
FVC_best,fin,16.1780741952525,23.0515120820475,15.8298706602636,14.3413593846925,0.808455203968388,0.802879950220137
FVC_best,nfe,0.209072119415454,1.7355210318014,3.30781743150083,0.730359660558493,-0.159536798826287,1.10201568675428
FVC_best,sas,2.51373419333624,19.5732033856462,11.2594465354086,2.90919618311787,0.170559287337249,0.54242984761552
FVC_best,oth,1.82061710247484,25.3350768394225,18.671021639191,8.22470401802078,0.122184856177039,0.744366067537565
HbA1c,afr,0.0294538520201811,0.0340140943080391,0.0595512083957278,-0.0111499834434902,0.684648239093684,1.36891119464549
HbA1c,amr,0.0646265358273297,0.163295399972787,0.12261575923641,0.00194587266883511,0.371891080104087,0.593375813756006
HbA1c,asj,0.0922231444906512,0.203135063930631,0.139825900080534,0.0372443819932964,0.541711056399075,0.705696568569141
HbA1c,eas,0.148247537100165,0.157957773623026,0.14732108536899,0.0221760514276063,0.930286083789811,0.869209243557528
HbA1c,fin,0.104084087933674,0.464542006015413,0.327624363111134,-0.219723558426561,0.606800870373664,0.948480026919256
HbA1c,nfe,0.0107874275012574,0.0436290200880814,0.0762117357638926,-0.00834568861158607,0.305995414802923,0.766733249037545
HbA1c,sas,0.227953324322242,0.234932317011731,0.150889486350353,0.125466352236737,1.02663229188215,0.68795274562567
HbA1c,oth,0.0880847877765052,0.263167585438999,0.221574549023544,0.176326221218183,0.384749253834761,0.920768470892978
