"Pheno"	"Est"	"Err"	"R2"	"R2.adj"	"Sex"	"est_diff"	"err_sum"	"R2_diff"
"height"	78.2243239249357	69.4096771355398	0.137011932503996	0.179541417654125	"male"	685.926295758989	520.31867101201	0.042529485150129
"height"	-607.701971834053	450.90899387647	0.185034507466575	0.201231889749545	"female"	685.926295758989	520.31867101201	0.01619738228297
"bmi"	-472.175194309178	60.9769838971432	0.882286765227948	0.882409135390396	"male"	1731.67431402805	590.396185738104	0.000122370162447427
"bmi"	1259.49911971887	529.419201840961	0.41433724712077	0.456149774809958	"female"	1731.67431402805	590.396185738104	0.0418125276891883
"RBC_count"	17.0527362595343	66.8854026672055	0.00805973920538687	0.0877248752754961	"male"	24.400361697688	626.213501962133	0.0796651360701092
"RBC_count"	41.4530979572222	559.328099294928	0.000686108259532463	0.0108628230976929	"female"	24.400361697688	626.213501962133	0.0101767148381604
"IGF1"	-105.430359199812	62.3618746965644	0.263229826194575	0.271346364724138	"male"	942.545554272108	439.973447094314	0.00811653852956334
"IGF1"	-1047.97591347192	377.611572397749	0.490515652474617	0.532359365502061	"female"	942.545554272108	439.973447094314	0.0418437130274439
"creatinine"	-16.8944664563438	10.3483134973388	0.249905494613472	0.252534140605863	"male"	42.4130864407546	69.3378161834558	0.00262864599239071
"creatinine"	25.5186199844108	58.989502686117	0.022857710188393	0.0253140804810432	"female"	42.4130864407546	69.3378161834558	0.00245637029265022
"weight"	-443.286445928728	49.3353784437317	0.90984205253052	0.912636940109377	"male"	1345.8340333335	928.427065834745	0.00279488757885715
"weight"	902.547587404772	879.091687391013	0.11642003966388	0.119386227141418	"female"	1345.8340333335	928.427065834745	0.00296618747753814
"calcium"	-5.29733723128809	6.00821910104418	0.0885644994790471	0.403978834235248	"male"	12.7258996872537	55.3620418809891	0.315414334756201
"calcium"	-18.0232369185418	49.353822779945	0.0163966082031384	0.278460173066694	"female"	12.7258996872537	55.3620418809891	0.262063564863555
"protein_total"	-9.03687685322165	57.5280736530241	0.00307503137314841	0.0480534577930148	"male"	288.008232847242	371.612482256931	0.0449784264198664
"protein_total"	-297.045109700463	314.084408603907	0.100561875091818	0.202716355796521	"female"	288.008232847242	371.612482256931	0.102154480704703
"whole_body_fat_mass"	-415.719623688887	91.4641009111632	0.720851137081754	0.764706404711578	"male"	2102.74317498371	777.466318400898	0.0438552676298246
"whole_body_fat_mass"	1687.02355129482	686.002217489734	0.430512327847243	0.441271165359877	"female"	2102.74317498371	777.466318400898	0.0107588375126345
"urate"	-88.5773933656282	40.1240372104956	0.378565978417672	0.380248458633618	"male"	1035.13090331354	486.600963327328	0.00168248021594625
"urate"	946.553509947909	446.476926116832	0.359724065563736	0.508126712769759	"female"	1035.13090331354	486.600963327328	0.148402647206023
"arm_fatfree_mass_L"	-503.152104707671	120.611824080886	0.685073930874962	0.68516850580573	"male"	957.497176492835	826.039937016414	9.45749307675881e-05
"arm_fatfree_mass_L"	454.345071785164	705.428112935528	0.0492970543126244	0.0509459878690235	"female"	957.497176492835	826.039937016414	0.00164893355639912
"arm_fatfree_mass_R"	-277.560670472587	220.736274759951	0.165025692288807	0.442676417862652	"male"	1079.81378824019	673.897636845101	0.277650725573845
"arm_fatfree_mass_R"	802.253117767602	453.16136208515	0.281488574455869	0.410687724641135	"female"	1079.81378824019	673.897636845101	0.129199150185266
"eosinophil_perc"	1.16539214025885	5.72350730067034	0.00515566666661409	0.534655928607909	"male"	24.8273371476124	84.3768532034545	0.529500261941295
"eosinophil_perc"	-23.6619450073536	78.6533459027841	0.0111864146800211	0.368780167201307	"female"	24.8273371476124	84.3768532034545	0.357593752521286
"lymphocyte_perc"	4.14229733975565	3.90073499345486	0.12354602456274	0.155334220996418	"male"	96.6021754089924	45.4837799308423	0.0317881964336784
"lymphocyte_perc"	-92.4598780692367	41.5830449373874	0.38195063434522	0.462155351204028	"female"	96.6021754089924	45.4837799308423	0.0802047168588081
"waist_circ"	-249.483291627222	66.9868245217056	0.634216893598534	0.647992425182586	"male"	628.353830414481	643.002030431033	0.0137755315840523
"waist_circ"	-877.837122041703	576.015205909328	0.224995657904559	0.473592521878355	"female"	628.353830414481	643.002030431033	0.248596863973796
"hip_circ"	-287.767232553812	97.4703196184198	0.521428488501958	0.773164279828876	"male"	1037.68602252375	812.755750180141	0.251735791326918
"hip_circ"	749.918789969943	715.285430561721	0.120800115121544	0.226842187330106	"female"	1037.68602252375	812.755750180141	0.106042072208562
"waist_to_hip"	-15.8975107322733	5.36520131146248	0.523237183509127	0.551026350164814	"male"	51.3601859896449	87.5007191796488	0.0277891666556879
"waist_to_hip"	35.4626752573717	82.1355178681863	0.0227712688464168	0.0296098601246521	"female"	51.3601859896449	87.5007191796488	0.00683859127823531
"wth_bmi_adj"	-3.46839791916412	5.15109744172443	0.0536325107794147	0.13233489983889	"male"	39.9953970046223	53.1608412865295	0.0787023890594751
"wth_bmi_adj"	36.5269990854581	48.0097438448051	0.0674745382984792	0.0763782140937262	"female"	39.9953970046223	53.1608412865295	0.00890367579524702
"diastolicBP_auto"	52.822010940334	68.7212301550852	0.0687723533011201	0.166432887806174	"male"	823.969532588512	544.542562944085	0.0976605345050544
"diastolicBP_auto"	876.791543528846	475.821332788999	0.297969051164894	0.341821085345739	"female"	823.969532588512	544.542562944085	0.0438520341808449
"systolicBP_auto"	127.086640145111	100.422585788962	0.166800071880529	0.380941559025502	"male"	419.470906354352	633.658764886346	0.214141487144974
