"Pheno"	"Est"	"Err"	"Sex"	"est_diff"	"err_sum"
"height"	0.370151229234749	0.440660899430975	"male"	0.800307604831548	1.14437769253334
"height"	-0.430156375596799	0.703716793102366	"female"	0.800307604831548	1.14437769253334
"bmi"	-0.939301211128756	0.1813924010458	"male"	1.58299154593329	0.44379386354773
"bmi"	0.643690334804531	0.26240146250193	"female"	1.58299154593329	0.44379386354773
"RBC_count"	0.0897760502884086	0.591137419728131	"male"	0.0635823819784435	1.21012327586516
"RBC_count"	0.0261936683099651	0.618985856137027	"female"	0.0635823819784435	1.21012327586516
"IGF1"	-0.513059281364809	0.685250052380492	"male"	0.187308944980888	1.25907416077282
"IGF1"	-0.700368226345697	0.573824108392328	"female"	0.187308944980888	1.25907416077282
"creatinine"	-0.499905485680516	0.689210854614426	"male"	0.651093151144313	1.25097046963896
"creatinine"	0.151187665463797	0.561759615024537	"female"	0.651093151144313	1.25097046963896
"weight"	-0.953856410855701	0.14211815105487	"male"	1.29506022042394	0.600062697124048
"weight"	0.34120380956824	0.457944546069178	"female"	1.29506022042394	0.600062697124048
"calcium"	-0.297597882181724	0.70618561148646	"male"	0.169548640859729	1.37979684952593
"calcium"	-0.128049241321995	0.673611238039466	"female"	0.169548640859729	1.37979684952593
"protein_total"	-0.0554529654134783	0.650398616876444	"male"	0.261661958694199	1.35798871122806
"protein_total"	-0.317114924107678	0.707590094351616	"female"	0.261661958694199	1.35798871122806
"whole_body_fat_mass"	-0.849029526625402	0.377629212127239	"male"	1.50516390908622	0.6313688465482
"whole_body_fat_mass"	0.656134382460821	0.253739634420961	"female"	1.50516390908622	0.6313688465482
"urate"	-0.615277155774268	0.638700302993671	"male"	1.21504716633143	0.931329153373219
"urate"	0.59977001055716	0.292628850379548	"female"	1.21504716633143	0.931329153373219
"arm_fatfree_mass_L"	-0.827691929932244	0.414075786517178	"male"	1.04972132959054	0.939246795240858
"arm_fatfree_mass_L"	0.222029399658299	0.52517100872368	"female"	1.04972132959054	0.939246795240858
"arm_fatfree_mass_R"	-0.406233544022163	0.706401978898088	"male"	0.936788512386299	1.04551462746455
"arm_fatfree_mass_R"	0.530554968364136	0.339112648566461	"female"	0.936788512386299	1.04551462746455
"eosinophil_perc"	0.0718029711545012	0.599286969052049	"male"	0.17756881951786	1.26628755153496
"eosinophil_perc"	-0.105765848363359	0.667000582482906	"female"	0.17756881951786	1.26628755153496
"lymphocyte_perc"	0.351491144358916	0.451842158496877	"male"	0.969512692806233	1.08886056677567
"lymphocyte_perc"	-0.618021548447318	0.637018408278798	"female"	0.969512692806233	1.08886056677567
"waist_circ"	-0.796377356281891	0.461925314709882	"male"	0.322040284249187	1.15767873613914
"waist_circ"	-0.474337072032705	0.695753421429262	"female"	0.322040284249187	1.15767873613914
"hip_circ"	-0.722100054356706	0.552531347710863	"male"	1.06966316390883	1.00670884316543
"hip_circ"	0.347563109552128	0.454177495454565	"female"	1.06966316390883	1.00670884316543
"waist_to_hip"	-0.72335135550376	0.551239496863468	"male"	0.874252875861961	1.11314124269144
"waist_to_hip"	0.150901520358202	0.561901745827968	"female"	0.874252875861961	1.11314124269144
"wth_bmi_adj"	-0.231586940001837	0.69757327174023	"male"	0.491345555447946	1.20218598670884
"wth_bmi_adj"	0.259758615446109	0.504612714968611	"female"	0.491345555447946	1.20218598670884
"diastolicBP_auto"	0.26224483465098	0.503233407402712	"male"	0.283620580231566	0.832190791316931
"diastolicBP_auto"	0.545865414882546	0.328957383914219	"female"	0.283620580231566	0.832190791316931
"systolicBP_auto"	0.408411645133349	0.417297824298232	"male"	0.598728916572801	1.10673277732373
"systolicBP_auto"	-0.190317271439452	0.689434953025499	"female"	0.598728916572801	1.10673277732373
"albumin"	-0.380642187984434	0.708107369675093	"male"	0.694017287745477	1.18233282994525
"albumin"	0.313375099761043	0.474225460270158	"female"	0.694017287745477	1.18233282994525
"pulse_rate"	-0.384057695675873	0.707946852805306	"male"	1.03136205639848	0.967837068023174
"pulse_rate"	0.647304360722604	0.259890215217868	"female"	1.03136205639848	0.967837068023174
"urea"	-0.788666266117014	0.47275661916459	"male"	1.03659024136391	0.983893874854949
"urea"	0.2479239752469	0.511137255690359	"female"	1.03659024136391	0.983893874854949
"SHBG"	0.823323401986773	0.133580598493355	"male"	0.491332989685895	0.596952415544443
"SHBG"	0.331990412300878	0.463371817051088	"female"	0.491332989685895	0.596952415544443
"FVC_best"	0.362555567495117	0.44522954178216	"male"	0.246950135958363	1.02429218910598
"FVC_best"	0.115605431536755	0.579062647323821	"female"	0.246950135958363	1.02429218910598
"HbA1c"	-0.770197377406817	0.497277467677534	"male"	0.499946178810475	1.20059277045427
"HbA1c"	-0.270251198596342	0.703315302776736	"female"	0.499946178810475	1.20059277045427
