"Pheno"	"Est"	"Err"	"Sex"	"est_diff"	"err_sum"
"height"	0.190058578962667	0.542021315624042	"male"	0.375272761823939	1.23031454116028
"height"	-0.185214182861273	0.688293225536238	"female"	0.375272761823939	1.23031454116028
"bmi"	-0.0885895063104784	0.661587123714079	"male"	0.00466224073117555	1.3216585000266
"bmi"	-0.0839272655793028	0.660071376312523	"female"	0.00466224073117555	1.3216585000266
"RBC_count"	0.525555404948783	0.342412633880126	"male"	0.880997669389572	1.05109188831333
"RBC_count"	-0.355442264440789	0.708679254433201	"female"	0.880997669389572	1.05109188831333
"IGF1"	0.219191815982865	0.52668819635643	"male"	0.583414566211377	1.23528864469382
"IGF1"	-0.364222750228512	0.708600448337392	"female"	0.583414566211377	1.23528864469382
"creatinine"	0.191350165211556	0.541351112385187	"male"	0.401386378147601	0.838769392297688
"creatinine"	0.592736543359156	0.297418279912501	"female"	0.401386378147601	0.838769392297688
"weight"	0.493957265777063	0.363080334157906	"male"	0.478984451995674	0.986686572711519
"weight"	0.014972813781389	0.623606238553613	"female"	0.478984451995674	0.986686572711519
"calcium"	0.083261221077795	0.594115854048109	"male"	0.391277009031533	0.969731647363846
"calcium"	0.474538230109327	0.375615793315737	"female"	0.391277009031533	0.969731647363846
"protein_total"	-0.415479862226006	0.705492839203788	"male"	0.216870848377592	1.39672088253097
"protein_total"	-0.198609013848414	0.691228043327186	"female"	0.216870848377592	1.39672088253097
"whole_body_fat_mass"	-0.187449263729184	0.688796838390454	"male"	0.0293211186894843	1.38367773366404
"whole_body_fat_mass"	-0.216770382418668	0.694880895273584	"female"	0.0293211186894843	1.38367773366404
"urate"	-0.162838136324719	0.68295211659847	"male"	0.196125541054166	1.29896987328049
"urate"	0.0332874047294474	0.616017756682017	"female"	0.196125541054166	1.29896987328049
"arm_fatfree_mass_L"	-0.104907895336382	0.666736645622846	"male"	0.24023830111462	1.37534888732319
"arm_fatfree_mass_L"	-0.345146196451002	0.708612241700344	"female"	0.24023830111462	1.37534888732319
"arm_fatfree_mass_R"	0.557115772321556	0.321448236369196	"male"	0.785813272575947	1.0185171988146
"arm_fatfree_mass_R"	-0.228697500254391	0.697068962445405	"female"	0.785813272575947	1.0185171988146
"eosinophil_perc"	-0.453774127090706	0.699965046259712	"male"	0.453858567633199	1.32955786923523
"eosinophil_perc"	8.44405424935542e-05	0.629592822975518	"female"	0.453858567633199	1.32955786923523
"lymphocyte_perc"	0.113470146503137	0.580076687063361	"male"	0.134871084997234	1.09098506960345
"lymphocyte_perc"	0.24834123150037	0.510908382540089	"female"	0.134871084997234	1.09098506960345
"waist_circ"	0.132012980449354	0.571177887955153	"male"	0.199963576227748	1.03455783948045
"waist_circ"	0.331976556677103	0.463379951525296	"female"	0.199963576227748	1.03455783948045
"hip_circ"	-0.0288878757548906	0.640755291468877	"male"	0.392553796420571	1.34557659180895
"hip_circ"	-0.421441672175462	0.70482130034007	"female"	0.392553796420571	1.34557659180895
"waist_to_hip"	-0.555219511586736	0.669617717544562	"male"	0.677126999758242	1.24567121250266
"waist_to_hip"	0.121907488171505	0.576053494958099	"female"	0.677126999758242	1.24567121250266
"wth_bmi_adj"	0.0121421642390694	0.624757188311464	"male"	0.619660160797584	0.895393840627879
"wth_bmi_adj"	0.631802325036654	0.270636652316415	"female"	0.619660160797584	0.895393840627879
"diastolicBP_auto"	-0.0339844073947621	0.642650212776371	"male"	0.585184682474254	1.27895791984341
"diastolicBP_auto"	-0.619169089869016	0.63630770706704	"female"	0.585184682474254	1.27895791984341
"systolicBP_auto"	-0.469702625927704	0.696782144827937	"male"	0.0496255493777044	1.37999633231918
"systolicBP_auto"	-0.519328175305408	0.683214187491242	"female"	0.0496255493777044	1.37999633231918
"albumin"	0.230352186224628	0.52069724866569	"male"	0.714054734489863	1.21422672834752
"albumin"	-0.483702548265235	0.693529479681834	"female"	0.714054734489863	1.21422672834752
"pulse_rate"	0.446378445088893	0.393560194350817	"male"	0.564436250998468	1.06426609875119
"pulse_rate"	-0.118057805909575	0.670705904400375	"female"	0.564436250998468	1.06426609875119
"urea"	0.434997131059367	0.400732076316182	"male"	0.297945544034818	0.969456093787946
"urea"	0.13705158702455	0.568724017471764	"female"	0.297945544034818	0.969456093787946
"SHBG"	0.502866078397985	0.357286699015726	"male"	0.295123401029017	0.890054094270967
"SHBG"	0.207742677368968	0.532767395255242	"female"	0.295123401029017	0.890054094270967
"FVC_best"	-0.106981372435884	0.667373342856815	"male"	0.223972500335722	1.37561858621818
"FVC_best"	-0.330953872771605	0.708245243361366	"female"	0.223972500335722	1.37561858621818
"HbA1c"	-0.306614558886324	0.706903025819784	"male"	0.841446532623431	1.04318626402082
"HbA1c"	0.534831973737107	0.336283238201038	"female"	0.841446532623431	1.04318626402082
