pheno	m_var	f_var	m_varse	f_varse
1	height	46.882111223888	39.989247108443	0.16139052679799	0.113341047517443
2	bmi	17.9484858893981	26.8431908249097	0.0721751066547029	0.117687198597869
3	testosterone	13.8783016551504	0.507760195698084	0.0588747434924659	0.0207047094588258
4	RBC_count	0.146139756509667	0.115136699963165	0.000629251323533891	0.000445364815885249
5	IGF1	30.8009108000946	33.5027059641566	0.200365689262335	0.162622551792482
6	creatinine	366.610205042397	189.010159716549	22.6752417812828	10.6480197998097
7	weight	205.69183918449	198.183412654523	0.872758766811553	0.777930120961905
8	calcium	0.00801816211645366	0.00949692846238838	3.44529145721483e-05	4.09241752545117e-05
9	protein_total	16.797001747943	17.0026341632206	0.0627377640488194	0.0597987846647359
10	whole_body_fat_mass	67.6826018277217	100.864133581781	0.331622402228807	0.397757063837859
11	urate	5158.95063113659	4392.37989335393	16.1164001320857	14.450192842669
12	arm_fatfree_mass_L	0.358620303567974	0.127501842616956	0.00123993150825793	0.00510424865093324
13	arm_fatfree_mass_R	0.331174911379061	0.0986915366529831	0.00113374232086763	0.00198745699577773
14	eosinophil_perc	3.79281684352835	3.22826062782643	0.0689769899820868	0.0779913407307297
15	lymphocyte_perc	56.3834430629483	54.2920753760974	0.253140873080713	0.20734125921254
16	waist_circ	128.57735321132	157.474984435571	0.467591583644528	0.469674485905122
17	hip_circ	58.0598437177024	107.575796014812	0.296302120464794	0.407574128539628
18	waist_to_hip	0.0042633073991456	0.00495315460964359	1.79453832205625e-05	2.07012646284265e-05
19	wth_bmi_adj	0.00277444396132109	0.00400039161230374	1.30287806414423e-05	1.26512121667762e-05
20	diastolicBP_auto	111.714199865122	111.598700591033	0.441242371249964	0.355523879190746
21	systolicBP_auto	342.843464920251	410.633387483419	1.38095043423919	1.16493707083673
22	albumin	6.87327068966677	6.7810974428575	0.0256057120127659	0.019668103927253
23	pulse_rate	150.808647909232	121.45773504816	0.573453332973975	0.465298995006361
24	urea	2.11017712242328	1.77336259364217	0.022107875024428	0.0111530125596421
25	SHBG	283.780475659709	961.181617975029	1.65606747517626	5.12603605615594
26	FVC_best	0.544625906098969	0.275689980977988	0.00238289476803066	0.00109450730599029
27	HbA1c	57.5577160662849	35.7970267824716	1.27531503140452	0.54920914621882
