"Pheno"	"Est"	"Err"	"Sex"	"est_diff"	"err_sum"
"height"	0.160274388416234	0.557221644574237	"male"	0.337229777680347	1.24360640963845
"height"	-0.176955389264114	0.686384765064217	"female"	0.337229777680347	1.24360640963845
"bmi"	-0.0247612646529694	0.639205700172951	"male"	0.200985622487399	1.33574923661347
"bmi"	-0.225746887140369	0.696543536440515	"female"	0.200985622487399	1.33574923661347
"RBC_count"	0.0421767029048519	0.612247693149043	"male"	0.397423040315632	1.32092726687366
"RBC_count"	-0.35524633741078	0.708679573724618	"female"	0.397423040315632	1.32092726687366
"IGF1"	0.07748492116493	0.596733512920365	"male"	0.594974086949078	1.28055501007055
"IGF1"	-0.517489165784148	0.683821497150184	"female"	0.594974086949078	1.28055501007055
"creatinine"	0.31726431078947	0.471970390948014	"male"	0.026022293858443	0.958900450141778
"creatinine"	0.291242016931027	0.486930059193764	"female"	0.026022293858443	0.958900450141778
"weight"	0.736881915834821	0.196550689798124	"male"	1.01366153895502	0.900643971524455
"weight"	-0.276779623120203	0.704093281726332	"female"	1.01366153895502	0.900643971524455
"calcium"	-0.342817734582114	0.708573637394923	"male"	0.624086885632295	1.20115525726435
"calcium"	0.281269151050181	0.492581619869432	"female"	0.624086885632295	1.20115525726435
"protein_total"	0.123306766069049	0.575382067595906	"male"	0.139715829488079	1.21141000868306
"protein_total"	-0.0164090634190305	0.636027941087155	"female"	0.139715829488079	1.21141000868306
"whole_body_fat_mass"	0.0927773816944189	0.589756055337214	"male"	0.406802827170422	1.29716078914193
"whole_body_fat_mass"	-0.314025445476003	0.70740473380472	"female"	0.406802827170422	1.29716078914193
"urate"	0.364537898530024	0.444039479210693	"male"	0.280872769041045	1.03797147673282
"urate"	0.0836651294889791	0.593931997522124	"female"	0.280872769041045	1.03797147673282
"arm_fatfree_mass_L"	-0.738624782536657	0.534867368750613	"male"	0.473448545023611	1.23753869499636
"arm_fatfree_mass_L"	-0.265176237513046	0.702671326245749	"female"	0.473448545023611	1.23753869499636
"arm_fatfree_mass_R"	-0.236326778845876	0.698378461215262	"male"	0.115165985266769	1.40705214555304
"arm_fatfree_mass_R"	-0.351492764112645	0.708673684337777	"female"	0.115165985266769	1.40705214555304
"eosinophil_perc"	-0.191034541909858	0.689593110405503	"male"	0.0990462994559684	1.35227284430743
"eosinophil_perc"	-0.0919882424538895	0.662679733901932	"female"	0.0990462994559684	1.35227284430743
"lymphocyte_perc"	0.285770328784312	0.49003652530379	"male"	0.135369216338105	1.05218671422928
"lymphocyte_perc"	0.150401112446207	0.562150188925486	"female"	0.135369216338105	1.05218671422928
"waist_circ"	-0.23942692449347	0.698890146116227	"male"	0.46689560180439	1.22114136651567
"waist_circ"	0.227468677310921	0.522251220399442	"female"	0.46689560180439	1.22114136651567
"hip_circ"	-0.51341394309814	0.685137458919276	"male"	0.178274056834933	1.39352350999446
"hip_circ"	-0.335139886263208	0.708386051075183	"female"	0.178274056834933	1.39352350999446
"waist_to_hip"	-0.22706547809045	0.696779641980033	"male"	0.290627695453681	1.29973174355032
"waist_to_hip"	0.0635622173632307	0.60295210157029	"female"	0.290627695453681	1.29973174355032
"wth_bmi_adj"	-0.291005198067838	0.705588046359233	"male"	0.943101548275941	0.962143006400797
"wth_bmi_adj"	0.652096350208103	0.256554960041564	"female"	0.943101548275941	0.962143006400797
"diastolicBP_auto"	-0.421981136401818	0.704757189085666	"male"	0.150710978729625	1.36648994247558
"diastolicBP_auto"	-0.572692115131443	0.661732753389913	"female"	0.150710978729625	1.36648994247558
"systolicBP_auto"	-0.0285934206922601	0.640645171922285	"male"	0.448726464611935	1.33571149630814
"systolicBP_auto"	-0.477319885304195	0.695066324385859	"female"	0.448726464611935	1.33571149630814
"albumin"	0.347341518922432	0.454309045246307	"male"	0.630856067194197	1.15914460842585
"albumin"	-0.283514548271765	0.704835563179545	"female"	0.630856067194197	1.15914460842585
"pulse_rate"	0.450172139030009	0.391159170296353	"male"	0.529191940669857	1.04961407364178
"pulse_rate"	-0.0790198016398478	0.658454903345422	"female"	0.529191940669857	1.04961407364178
"urea"	0.162960143928071	0.555871322023897	"male"	0.0726973290601674	1.14678510168959
"urea"	0.0902628148679036	0.590913779665694	"female"	0.0726973290601674	1.14678510168959
"SHBG"	-0.4641719814411	0.697948684389675	"male"	0.764907172313453	1.17945663196311
"SHBG"	0.300735190872353	0.481507947573434	"female"	0.764907172313453	1.17945663196311
"FVC_best"	-0.252779178545202	0.700956616489275	"male"	0.0730154580219456	1.4089914087331
"FVC_best"	-0.325794636567147	0.708034792243828	"female"	0.0730154580219456	1.4089914087331
"HbA1c"	0.490545143266806	0.365292255510467	"male"	0.182826245724398	0.842785369045379
"HbA1c"	0.307718897542408	0.477493113534912	"female"	0.182826245724398	0.842785369045379
