pheno	m_var	m_std	f_var	f_std
height	46.88190068052725	6.847035904720177	39.98909570914827	6.323693201693791
testosterone	13.87823589274066	3.7253504389172116	0.5077577821597448	0.7125712470762098
bmi	17.948405196659255	4.236555817720245	26.84308908372445	5.18103166210403
creatinine	366.60848387580586	19.14702284627576	189.00940989344312	13.748069315123601
IGF1	30.800765502498972	5.549843736764034	33.502572376538275	5.788140666616377
RBC_count	0.14613908374593312	0.38228141956670236	0.11513625038429168	0.3393173299203736
weight	205.69091537449117	14.341928579326114	198.18266176636737	14.077736386449612
calcium	0.008018121375209113	0.08954396336553969	0.009496887016965813	0.09745197287364589
protein_total	16.79691632136066	4.09840411884439	17.002559917855105	4.123416049570442
urea	2.110167213999842	1.4526414609255245	1.7733555571870845	1.331673968051897
SHBG	283.7790229454053	16.84574198263185	961.1773769689495	31.002860786852388
whole_body_fat_mass	67.6822919696803	8.226924818526076	100.86374601844447	10.043094444365465
FVC_best	0.5446225225728012	0.7379854487541073	0.2756884983273999	0.5250604711148992
HbA1c	57.55744498319974	7.586662308499024	35.796884464213676	5.983049762806062
