"Pheno"	"Est"	"Err"	"Sex"	"est_diff"	"err_sum"
"height"	78.2243239249357	69.4096771355398	"male"	685.926295758989	520.31867101201
"height"	-607.701971834053	450.90899387647	"female"	685.926295758989	520.31867101201
"bmi"	-472.175194309178	60.9769838971432	"male"	1731.67431402805	590.396185738104
"bmi"	1259.49911971887	529.419201840961	"female"	1731.67431402805	590.396185738104
"RBC_count"	17.0527362595343	66.8854026672055	"male"	24.400361697688	626.213501962133
"RBC_count"	41.4530979572222	559.328099294928	"female"	24.400361697688	626.213501962133
"IGF1"	-105.430359199812	62.3618746965644	"male"	942.545554272108	439.973447094314
"IGF1"	-1047.97591347192	377.611572397749	"female"	942.545554272108	439.973447094314
"creatinine"	-16.8944664563438	10.3483134973388	"male"	42.4130864407546	69.3378161834558
"creatinine"	25.5186199844108	58.989502686117	"female"	42.4130864407546	69.3378161834558
"weight"	-443.286445928728	49.3353784437317	"male"	1345.8340333335	928.427065834745
"weight"	902.547587404772	879.091687391013	"female"	1345.8340333335	928.427065834745
"calcium"	-5.29733723128809	6.00821910104418	"male"	12.7258996872537	55.3620418809891
"calcium"	-18.0232369185418	49.353822779945	"female"	12.7258996872537	55.3620418809891
"protein_total"	-9.03687685322165	57.5280736530241	"male"	288.008232847242	371.612482256931
"protein_total"	-297.045109700463	314.084408603907	"female"	288.008232847242	371.612482256931
"whole_body_fat_mass"	-415.719623688887	91.4641009111632	"male"	2102.74317498371	777.466318400898
"whole_body_fat_mass"	1687.02355129482	686.002217489734	"female"	2102.74317498371	777.466318400898
"urate"	-88.5773933656282	40.1240372104956	"male"	1035.13090331354	486.600963327328
"urate"	946.553509947909	446.476926116832	"female"	1035.13090331354	486.600963327328
"arm_fatfree_mass_L"	-503.152104707671	120.611824080886	"male"	957.497176492835	826.039937016414
"arm_fatfree_mass_L"	454.345071785164	705.428112935528	"female"	957.497176492835	826.039937016414
"arm_fatfree_mass_R"	-277.560670472587	220.736274759951	"male"	1079.81378824019	673.897636845101
"arm_fatfree_mass_R"	802.253117767602	453.16136208515	"female"	1079.81378824019	673.897636845101
"eosinophil_perc"	1.16539214025885	5.72350730067034	"male"	24.8273371476124	84.3768532034545
"eosinophil_perc"	-23.6619450073536	78.6533459027841	"female"	24.8273371476124	84.3768532034545
"lymphocyte_perc"	4.14229733975565	3.90073499345486	"male"	96.6021754089924	45.4837799308423
"lymphocyte_perc"	-92.4598780692367	41.5830449373874	"female"	96.6021754089924	45.4837799308423
"waist_circ"	-249.483291627222	66.9868245217056	"male"	628.353830414481	643.002030431033
"waist_circ"	-877.837122041703	576.015205909328	"female"	628.353830414481	643.002030431033
"hip_circ"	-287.767232553812	97.4703196184198	"male"	1037.68602252375	812.755750180141
"hip_circ"	749.918789969943	715.285430561721	"female"	1037.68602252375	812.755750180141
"waist_to_hip"	-15.8975107322733	5.36520131146248	"male"	51.3601859896449	87.5007191796488
"waist_to_hip"	35.4626752573717	82.1355178681863	"female"	51.3601859896449	87.5007191796488
"wth_bmi_adj"	-3.46839791916412	5.15109744172443	"male"	39.9953970046223	53.1608412865295
"wth_bmi_adj"	36.5269990854581	48.0097438448051	"female"	39.9953970046223	53.1608412865295
"diastolicBP_auto"	52.822010940334	68.7212301550852	"male"	823.969532588512	544.542562944085
"diastolicBP_auto"	876.791543528846	475.821332788999	"female"	823.969532588512	544.542562944085
"systolicBP_auto"	127.086640145111	100.422585788962	"male"	419.470906354352	633.658764886346
"systolicBP_auto"	-292.384266209241	533.236179097385	"female"	419.470906354352	633.658764886346
"albumin"	-7.51282277688453	6.45286544723852	"male"	59.5190398625785	62.171433844423
"albumin"	52.0062170856939	55.7185683971845	"female"	59.5190398625785	62.171433844423
"pulse_rate"	-9.12872880711221	7.75918227130703	"male"	111.377166015445	50.3278562161762
"pulse_rate"	102.248437208333	42.5686739448692	"female"	111.377166015445	50.3278562161762
"urea"	-18.9023375330409	5.2098632839326	"male"	56.3782816660913	56.9841350310715
"urea"	37.4759441330504	51.7742717471389	"female"	56.3782816660913	56.9841350310715
"SHBG"	10.7880879036411	2.62936204904703	"male"	35.7032800041995	49.3322446141155
"SHBG"	46.4913679078406	46.7028825650685	"female"	35.7032800041995	49.3322446141155
"FVC_best"	98.0006278454943	89.0651007170254	"male"	37.2309234472597	499.867660113743
"FVC_best"	135.231551292754	410.802559396718	"female"	37.2309234472597	499.867660113743
"HbA1c"	-333.625307822736	97.678795454762	"male"	138.135392224998	691.88972927601
"HbA1c"	-471.760700047734	594.210933821248	"female"	138.135392224998	691.88972927601
