Phenotype	Beta	Err	R2	R2.Err	Sex	PGS_sex
albumin	0.427847196551227	0.0162623049325639	0.0269430149265993	0.00202161096629777	0	M
albumin	0.435979210201875	0.0162111825547697	0.0281196370780749	0.00195093242246855	1	M
albumin	0.462400258915909	0.0161983455017555	0.031568818052902	0.00241567503930906	0	F
albumin	0.462340940624284	0.0162075330293636	0.0315263307660336	0.00207450047945181	1	F
arm_fatfree_mass_L	0.0755862600110095	0.00254668998940238	0.0340398394566737	0.0092141541042891	0	M
arm_fatfree_mass_L	0.145666988940308	0.00362487428786134	0.0606798845659185	0.00309279088905492	1	M
arm_fatfree_mass_L	0.0813886796026116	0.00254404857652305	0.0393319336041942	0.0100878897761528	0	F
arm_fatfree_mass_L	0.142933238197346	0.00362270007278843	0.0586219816941894	0.00307709803070705	1	F
arm_fatfree_mass_R	0.0654751535882754	0.00190390583075713	0.0451732599870867	0.00288005657886504	0	M
arm_fatfree_mass_R	0.122374224896243	0.00344317799275819	0.0481002052810541	0.00285571319853489	1	M
arm_fatfree_mass_R	0.0669691636608899	0.00187195464368543	0.0487045209484206	0.00274697424062861	0	F
arm_fatfree_mass_R	0.117871494154865	0.00350278334165	0.043335653605876	0.00284171700986952	1	F
bmi	0.930633096078924	0.0318025251983958	0.0331207934671002	0.00241593133045753	0	M
bmi	0.786682463292422	0.0260804612765572	0.0351185904570377	0.0023846299074087	1	M
bmi	0.969326230782144	0.0323452856089811	0.0346803778387476	0.00224238008793421	0	F
bmi	0.72404256882441	0.0256901517459898	0.0307967206160364	0.0024283745866438	1	F
calcium	0.0158929358107185	0.000604183386296764	0.0269344151534505	0.0016947157474397	0	M
calcium	0.0160850057281648	0.000557849890051518	0.0321879628761224	0.00245745833781067	1	M
calcium	0.016390171835352	0.00060389017010999	0.0286241840562017	0.00205048681791916	0	F
calcium	0.0157063182552725	0.000558055441834446	0.0307143007900295	0.00228514113467273	1	F
creatinine	0.990849102114497	0.0831494935656917	0.00564846585623755	0.00179683719339963	0	M
creatinine	1.25586220101219	0.10524017862832	0.00566433043719431	0.00121097646595423	1	M
creatinine	1.36155725772827	0.0822748493533317	0.0108367816447369	0.00256301689741302	0	F
creatinine	1.39498165555557	0.106019538244859	0.00687800540673416	0.00196695459846437	1	F
diastolicBP_auto	0.905220541266713	0.0660240706963218	0.00746354933524943	0.00108209443114827	0	M
diastolicBP_auto	0.867413131662571	0.0661468391132181	0.0068320529670508	0.000881838239552284	1	M
diastolicBP_auto	1.2978618954383	0.0652630062224665	0.0155740160799983	0.00197051292249193	0	F
diastolicBP_auto	0.967825135097757	0.0665957539252008	0.00837802386527513	0.00113886527380764	1	F
eosinophil_perc	0.303517974460263	0.0106974567116082	0.0311987491490573	0.00251771006637099	0	M
eosinophil_perc	0.361367096386203	0.0118073172901693	0.036117170920966	0.00225555634759139	1	M
eosinophil_perc	0.349969115656202	0.0106147082655157	0.0416727250083612	0.00247707065639761	0	F
eosinophil_perc	0.360864232261685	0.0118364719411239	0.0358494677618948	0.00257304182064866	1	F
FVC_best	0.0684964703817404	0.00327663778799228	0.0171809750012461	0.00170030472900765	0	M
FVC_best	0.0936618484627182	0.00462262650655992	0.0161572800013376	0.00168920342175127	1	M
FVC_best	0.0670057430772147	0.00318886897171778	0.0173556861381476	0.00203264444210355	0	F
FVC_best	0.101037420957762	0.00475230618251884	0.0177610069346722	0.00167980739719362	1	F
HbA1c	0.661640863546027	0.0363782141556407	0.0130601246333128	0.00200939199712177	0	M
HbA1c	0.798655632143707	0.0461564859287599	0.0118352581138611	0.00137686951626627	1	M
HbA1c	0.652009034262538	0.0364197363300132	0.0126588889219804	0.00136296427473593	0	F
HbA1c	0.715669093804155	0.0461679820651982	0.00952100397911139	0.00118514121797083	1	F
height	2.38536115513871	0.0361599793694114	0.148268642142726	0.0045950416542046	0	M
height	2.59485379037443	0.0396206525532348	0.146454853711632	0.00406392392087678	1	M
height	2.50010923777427	0.0358928737837923	0.162540018719379	0.00469280273101368	0	F
height	2.68426599843112	0.0393333405768008	0.157046356067833	0.00391551055262034	1	F
hip_circ	1.45529479812537	0.0650200615259645	0.0196464755687837	0.00168170944149443	0	M
hip_circ	1.22502791605837	0.0468241116624346	0.0266511607706082	0.00239807740266101	1	M
hip_circ	1.93841814984223	0.0639439430525341	0.0354578230188084	0.00239329784362843	0	F
hip_circ	1.22958564546794	0.0472306943502279	0.0263964659684989	0.00195671614646096	1	F
IGF1	1.11811783552771	0.0358303521173664	0.0374947814972996	0.00255496860409772	0	M
IGF1	1.32685379717288	0.0339865104445813	0.0574677192233275	0.00270549274312412	1	M
IGF1	1.29730635379266	0.0356273592540491	0.0503694532270609	0.00283519996000461	0	F
IGF1	1.30718086486086	0.0339778544472812	0.0558976166232728	0.00296299003595926	1	F
lymphocyte_perc	1.32000216167361	0.0447448844090461	0.033643009091495	0.00209113212428925	0	M
lymphocyte_perc	1.31464906469305	0.0460780899339831	0.031536165150602	0.00233493330298994	1	M
lymphocyte_perc	1.37004852830431	0.0446988780928079	0.0362202295181305	0.00224782639660821	0	F
lymphocyte_perc	1.35791860221666	0.0460132735523954	0.0336668756755445	0.0024177611055361	1	F
