Code	Phenotype	Sex	Heritability	h2.std.error	Correlation	Correlation.std.error	relative_h2	relative_h2_se	star
protein_total	Total protein	female	0.1275	0.0085	0.9498	0.0269	0.992990654205608	0.0661993769470405	NA
protein_total	Total protein	both_sex	0.1284	0.0082	0.9498	0.0269	1	0.0638629283489098	NA
protein_total	Total protein	male	0.1372	0.0111	0.9498	0.0269	1.06853582554517	0.0864485981308412	NA
RBC_count	RBC count	female	0.2028	0.0159	0.9551	0.0201	1.09208400646204	0.0856219709208399	NA
RBC_count	RBC count	both_sex	0.1857	0.0138	0.9551	0.0201	1	0.074313408723748	NA
RBC_count	RBC count	male	0.1862	0.0158	0.9551	0.0201	1.00269251480883	0.0850834679590737	NA
eosinophil_perc	Eosinophil percentage	female	0.1249	0.0126	0.9659	0.0249	0.940512048192771	0.0948795180722893	NA
eosinophil_perc	Eosinophil percentage	both_sex	0.1328	0.0109	0.9659	0.0249	1	0.0820783132530121	NA
eosinophil_perc	Eosinophil percentage	male	0.1501	0.0131	0.9659	0.0249	1.13027108433735	0.098644578313253	NA
albumin	Albumin	female	0.1118	0.0078	0.9662	0.031	0.983289357959543	0.0686015831134564	NA
albumin	Albumin	both_sex	0.1137	0.0073	0.9662	0.031	1	0.0642040457343886	NA
albumin	Albumin	male	0.1219	0.0096	0.9662	0.031	1.07211961301671	0.0844327176781003	NA
calcium	Calcium	female	0.1082	0.0143	0.9663	0.0295	1.01596244131455	0.134272300469483	NA
calcium	Calcium	both_sex	0.1065	0.0111	0.9663	0.0295	1	0.104225352112676	NA
calcium	Calcium	male	0.1236	0.0158	0.9663	0.0295	1.16056338028169	0.148356807511737	NA
height	Height	female	0.4338	0.0196	0.9723	0.0082	1.03236554021894	0.0466444550214185	NA
height	Height	both_sex	0.4202	0.0174	0.9723	0.0082	1	0.0414088529271774	NA
height	Height	male	0.4395	0.0205	0.9723	0.0082	1.04593050928129	0.0487862922417897	NA
FVC_best	Forced vital capacity	female	0.2126	0.0095	0.9728	0.0205	1.07754688291941	0.0481500253421185	NA
FVC_best	Forced vital capacity	both_sex	0.1973	0.0077	0.9728	0.0205	1	0.0390268626457173	NA
FVC_best	Forced vital capacity	male	0.212	0.0113	0.9728	0.0205	1.07450582868728	0.05727318803852	NA
HbA1c	HbA1c	female	0.1148	0.0088	0.98	0.0316	1.07996237064911	0.0827845719661338	NA
HbA1c	HbA1c	both_sex	0.1063	0.0069	0.98	0.0316	1	0.0649106302916276	NA
HbA1c	HbA1c	male	0.111	0.0088	0.98	0.0316	1.04421448730009	0.0827845719661335	NA
